생성시간	이미지	분류(1 = 장소, 2 = 건물 입구, 3 = 건물 엘베, 0 = 못 쓰는 정보)
2022-11-19 14:56:04	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055601_B0D82E05E6E843FB.jpeg	1
2022-11-19 14:56:08	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055606_7F17B5982F1E405B.jpeg	1
2022-11-19 14:56:09	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055553_269874E176BA4317.jpeg	1
2022-11-19 14:56:10	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055606_C104A0928CD14480.jpeg	2
2022-11-19 14:56:13	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055553_C64D1D96DD64469E.jpeg	2
2022-11-19 14:56:25	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055608_38928D9853A149CF.jpeg	1
2022-11-19 14:56:27	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055608_C73DB4D6BB85490E.jpeg	1
2022-11-19 14:56:41	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055640_DA7DDC8E6BB9483B.jpeg	1
2022-11-19 14:56:42	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055640_0F4B6E2E630849B1.jpeg	3
2022-11-19 14:56:42	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055640_B02F3EB21F674687.jpeg	2
2022-11-19 14:56:43	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055640_24D1419AB37849DF.jpeg	3
2022-11-19 14:57:20	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055718_4718A357B6D64941.jpeg	1
2022-11-19 14:57:22	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055718_DFD8C840FF414C0C.jpeg	2
2022-11-19 14:57:30	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055728_8893ED2ADD564833.jpeg	1
2022-11-19 14:57:31	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055729_2F67A908012D4E5E.jpeg	2
2022-11-19 14:57:31	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055729_5FF9032F692543B9.jpeg	0
2022-11-19 14:57:31	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055729_89C673C26A0F48A8.jpeg	0
2022-11-19 14:57:42	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055741_5949D1D52EB94B98.jpeg	1
2022-11-19 14:57:43	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055741_B089AB2323ED4159.jpeg	1
2022-11-19 14:57:43	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055741_DBA0906CE72C4C90.jpeg	2
2022-11-19 14:58:14	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055812_96310706E3584383.jpeg	1
2022-11-19 14:58:16	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055812_C4EC8C5693944EEF.jpeg	2
2022-11-19 14:58:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055822_785C119F093A4221.jpeg	2
2022-11-19 14:58:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055822_A9365F350E04486C.jpeg	1
2022-11-19 14:58:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055822_E725258247BC4E31.jpeg	2
2022-11-19 14:58:24	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055822_F5B20942DF474AC0.jpeg	1
2022-11-19 14:58:25	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055822_6910930DEAF24FE2.jpeg	3
2022-11-19 14:59:16	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055914_A1097029FD694975.jpeg	1
2022-11-19 14:59:17	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055914_3D9D069E89E447B2.jpeg	3
2022-11-19 14:59:20	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055918_2C2790A565234584.jpeg	1
2022-11-19 14:59:20	https://scc-accessibility-images.s3.ap-northeast-2.amazonaws.com/20221119055918_3ED11BB8CF6F4EEF.jpeg	2
